timestamp,src_ip,src_port,dst_ip,dst_port,protocol,flow_duration_us,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,flow_bytes_per_sec,flow_pkts_per_sec,syn_count,fin_count,rst_count,ack_count,psh_count,avg_pkt_size,init_win_fwd,init_win_bwd,label
19/05/2024 10:17:47,192.168.1.27,43058,10.0.0.17,80,6,8835042,11,31,12485,8866,2416.63,4.75,1,1,0,20,10,750,65535,65535,BENIGN
19/05/2024 11:14:20,203.0.113.42,37854,192.168.1.17,7910,6,558,1,0,71,0,0.0,1792.11,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 11:14:51,192.168.1.15,47434,10.0.0.10,3389,6,8587536,36,9,18540,8496,3148.28,5.24,1,1,0,26,4,325,65535,65535,BENIGN
19/05/2024 10:54:25,192.168.1.25,12774,10.0.0.12,80,6,8348490,48,9,48528,9873,6995.4,6.83,1,1,0,38,3,322,65535,65535,BENIGN
19/05/2024 09:48:23,203.0.113.42,60014,192.168.1.29,4575,6,496,1,0,60,0,0.0,2016.13,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 10:59:21,192.168.1.28,53530,198.51.100.99,8443,6,187578881,5,3,277,283,1.5993,0.032,1,1,0,4,4,92,65535,65535,Botnet
19/05/2024 10:46:26,203.0.113.42,28322,192.168.1.15,80,6,45721,1608,1,88440,177,1758491.72,35169.83,1608,0,3,0,0,54,1024,0,DoS
19/05/2024 10:15:19,203.0.113.42,10105,192.168.1.15,22,6,2937019,27,14,3105,952,1256.38,13.96,27,0,14,9,0,90,8192,8192,BruteForce-SSH
19/05/2024 11:45:30,203.0.113.42,47164,192.168.1.21,12216,6,375,1,0,52,0,0.0,2666.67,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 08:35:13,192.168.1.19,39783,10.0.0.9,80,6,6004610,37,7,30895,8015,6480.02,7.33,1,1,0,33,2,258,65535,65535,BENIGN
19/05/2024 11:33:49,203.0.113.42,36849,192.168.1.26,33607,6,1418,1,0,45,0,0.0,705.22,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 08:19:39,192.168.1.16,8545,10.0.0.14,53,6,2599627,22,12,7612,3864,4414.48,13.08,1,1,0,15,6,809,65535,65535,BENIGN
19/05/2024 10:49:32,192.168.1.25,40553,10.0.0.11,80,6,6157663,30,12,32250,11484,7102.37,6.82,1,1,0,29,7,212,65535,65535,BENIGN
19/05/2024 12:10:52,192.168.1.22,14096,10.0.0.14,5432,6,5615017,9,23,8109,33051,7330.34,5.7,1,1,0,36,5,919,65535,65535,BENIGN
19/05/2024 12:03:11,192.168.1.16,10429,10.0.0.3,443,6,7253721,20,32,20480,12960,4610.05,7.17,1,1,0,38,4,944,65535,65535,BENIGN
19/05/2024 11:54:41,192.168.1.17,63400,10.0.0.13,443,6,2172044,16,36,13232,50580,29378.78,23.94,1,1,0,36,3,741,65535,65535,BENIGN
19/05/2024 09:12:46,192.168.1.24,6705,10.0.0.7,443,6,2449030,12,40,11832,36760,19841.32,21.23,1,1,0,32,7,1010,65535,65535,BENIGN
19/05/2024 11:52:02,203.0.113.42,50069,192.168.1.16,52715,6,500,1,0,40,0,0.0,2000.0,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 11:20:25,192.168.1.28,60025,10.0.0.15,3306,6,6430138,35,11,16905,13563,4738.31,7.15,1,1,0,45,9,979,65535,65535,BENIGN
19/05/2024 09:23:52,192.168.1.17,7846,10.0.0.19,3389,6,2459604,26,7,17862,6370,9851.99,13.42,1,1,0,25,4,851,65535,65535,BENIGN
